metric_id,issue_type,description,code_snippet,recommendation,response_id,dashboard_id
multiple_metrics,Hardcoded Logic,"Multiple metrics (`gross_revenue_amount_nova_entertainment_2025`, `gross_revenue_amount_digital_filtered_weeks`, `revenue_group_subtype_2025`, `financial_week_digital_2024`, `revenue_group_subtype_filtered_weeks`) hardcode specific financial years (e.g., '2024', '2025') in their `WHERE` clauses. The `structure_sql` indicates that data is available up to FY2027, meaning these metrics will become obsolete or require annual manual updates, which is unsustainable for a pacing report.","financial_year = '2025' OR financial_year IN ('2025', '2024')","Implement dynamic financial year selection. This could involve using a Looker Studio parameter for year selection, or defining a 'current financial year' in a configuration table, or using relative date logic (e.g., `financial_year = (SELECT MAX(financial_year) FROM adsales_performance)` or `financial_year = EXTRACT(YEAR FROM CURRENT_DATE())` adjusted for fiscal year start).",21,3ee20092-1897-49b7-8bcd-4157d5f816eb
multiple_metrics,Anti-Pattern,"The logic to exclude financial weeks 47-52 (and NULL weeks) is duplicated across `gross_revenue_amount_digital_filtered_weeks` and `revenue_group_subtype_filtered_weeks`. This indicates a common business rule that is not centralized, increasing the risk of inconsistencies if the exclusion criteria change.","(SAFE_CAST(financial_week AS INT64) NOT IN (47, 48, 49, 50, 51, 52) OR financial_week IS NULL)","Encapsulate this common filtering logic. This could be achieved by creating a BigQuery view that pre-filters the `adsales_performance` table, or by defining a reusable calculated field or filter in Looker Studio that can be applied consistently across relevant charts and metrics.",21,3ee20092-1897-49b7-8bcd-4157d5f816eb
gross_revenue_current_cal_q4_ms_not_other_xtend_n,Hardcoded Logic|Anti-Pattern,"Multiple metrics, including this one, rely on hardcoded string values for `Managed_Service_Fl` ('Other', 'Not Other') and `xtend_flag` ('N', 'Y') within their SQL logic. This pattern is repeated across several segmented gross revenue metrics, making it cumbersome to update if business definitions for these flags change or new categories are introduced. It also reduces reusability of the underlying logic.",t0.Managed_Service_Fl != 'Other' AND t0.xtend_flag = 'N',"Define these segmentations as separate, governed dimensions or attributes in the underlying data model. Alternatively, if these are truly static, consider creating a centralized view or UDF that encapsulates these filtering conditions, promoting DRY (Don't Repeat Yourself) principles and improving maintainability.",22,fed70b12-c274-4cde-9920-592ca4c4dab0
gross_revenue_prev_fy_q1_ms_other_xtend_n,Hardcoded Logic|Anti-Pattern,"Similar to other segmented metrics, this metric uses hardcoded string values for `Managed_Service_Fl` and `xtend_flag`. This creates redundant logic and increases the effort required for any future modifications to these categorical filters.",t0.Managed_Service_Fl = 'Other' AND t0.xtend_flag = 'N',"Implement a more dynamic or centralized approach for managing these categorical filters, such as a lookup table for `Managed_Service_Fl` and `xtend_flag` values, or pre-defined flags in the data model, to ensure consistency and ease of updates across all relevant metrics.",22,fed70b12-c274-4cde-9920-592ca4c4dab0
gross_revenue_current_cal_xtend_y,Hardcoded Logic|Anti-Pattern,"This metric also hardcodes the `xtend_flag` value ('Y'). While simple, the repetition across multiple metrics for different `xtend_flag` values ('N', 'Y') indicates a pattern that could be consolidated.",t0.xtend_flag = 'Y',"Consolidate `xtend_flag` logic. If `xtend_flag` is a common dimension, it should ideally be used directly as a filter in the dashboard or derived in the data model, rather than hardcoded into each metric's SQL.",22,fed70b12-c274-4cde-9920-592ca4c4dab0
gross_revenue_previous_fy_conditional_month_offset,Anti-Pattern|Complex Logic,"The SQL logic for this metric features a deeply nested `CASE` statement that conditionally switches between two different revenue calculation methods based on `relative_fy_month_offset`. This complexity makes the SQL difficult to read, understand, debug, and maintain, increasing the likelihood of errors during future modifications.",SUM(CASE WHEN SAFE_CAST(t0.relative_fy_month_offset AS INT64) < -12 THEN (CASE WHEN SAFE_CAST(t0.relative_fy_year_offset AS INT64) = -1 THEN t0.gross_revenue_amount ELSE 0 END) ELSE (CASE WHEN SAFE_CAST(t0.relative_fy_year_offset AS INT64) = -1 AND SAFE_CAST(t0.booking_line_created_date AS DATE) <= (CURRENT_DATE('Australia/Sydney') - INTERVAL 365 DAY) THEN t0.gross_revenue_amount ELSE 0 END) END),"Refactor this complex logic. Consider pre-calculating the 'total previous FY revenue' and 'previous FY same period revenue' as separate, simpler metrics or flags in the data model. The conditional logic can then be applied at a higher level (e.g., in a dashboard calculated field) or by combining these simpler pre-calculated values, significantly improving readability and maintainability.",22,fed70b12-c274-4cde-9920-592ca4c4dab0
gross_revenue_current_cal_q4_ms_not_other_xtend_n,Hardcoded Logic,"This metric, along with others, hardcodes specific calendar or financial quarter numbers (e.g., `calendar_quarter = 4`). While quarter definitions are generally stable, hardcoding them directly into each metric's SQL can be inflexible if reporting periods ever need to be dynamic or if different quarter definitions are introduced.",SAFE_CAST(t0.calendar_quarter AS INT64) = 4,"For static quarter definitions, this is less critical. However, for future flexibility and consistency, consider defining quarter logic within a centralized date dimension table or a view, allowing for easier updates or parameterization if quarter definitions or fiscal year start dates were to change.",22,fed70b12-c274-4cde-9920-592ca4c4dab0
scenario_dimension,Anti-Pattern,"The `scenario_dimension` metric includes a `LIMIT 1000` clause in its SQL logic. While the `structure_sql`'s `unique_scenarios` field confirms only 5 distinct scenarios currently exist (well within the limit), this hardcoded limit is a fragile pattern for a dimension query. If the number of distinct scenarios in the `digital_subscriptions` table were to grow beyond 1000 in the future, this query would silently truncate the list of available scenarios, leading to incomplete or misleading dimension data.",SELECT DISTINCT SAFE_CAST(scenario AS STRING) AS scenario FROM `ncau-data-newsquery-prd.asl_finance_derived.digital_subscriptions` LIMIT 1000;,"Remove the `LIMIT 1000` clause from the `scenario_dimension` SQL. For dimension queries intended to retrieve all distinct values, it is best practice to avoid arbitrary limits unless there's a specific, performance-driven reason to sample or paginate, which should be explicitly documented and managed.",23,52dd1ac1-19b5-4695-a7e6-632ef7a9dba3
all_gross_revenue_metrics_qld_digital_police_union,Hardcoded Logic|Anti-Pattern,"The metrics for 'QLD Digital Police Union' (Current FY, Previous FY, and their 'k' versions) are near-duplicates. They share identical `WHERE` clauses for `portfolio_conformed_name_current`, `revenue_group_subtype`, and `advertiser_group`. The only differences are the `relative_fy_year_offset` (0 for current, 1 for previous) and a simple division by 1000 for the 'k' metrics. This pattern is repeated across 4 metrics, indicating a lack of reusable metric definitions or parameterized queries.","WHERE t0.portfolio_conformed_name_current IN ('QLD CON A1', 'QLD DIRECT A1') AND (CASE WHEN ((t0.portfolio_parent_group_name_sync = 'DIGITAL OTHER') AND (t0.revenue_group_subtype = 'DIGITAL')) THEN 'PROGRAMMATIC' ELSE t0.revenue_group_subtype END) IN ('DIGITAL') AND t0.advertiser_group IN ('QLDGOVT QUEENSLAND POLICE UNION')","Define a base `gross_revenue` metric. Use parameters or a Looker dimension for `relative_fy_year_offset` (e.g., 'Current FY', 'Previous FY'). Parameterize the `WHERE` clause filters (e.g., `portfolio_conformed_name_current`, `advertiser_group`) to allow for dynamic selection or creation of derived metrics. Create a single 'k' derived metric by applying a `/ 1000` transformation to the base gross revenue.",24,9269e9c6-1ad0-4415-96c3-aca8a710ba01
all_gross_revenue_metrics_consortium_qld,Hardcoded Logic|Anti-Pattern,"Similar to the 'QLD Digital Police Union' metrics, the 'Consortium QLD' metrics (Current FY, Previous FY, and their 'k' versions) are also near-duplicates. They share an identical `WHERE` clause for `sales_segment_l_2_name`. The only differences are the `relative_fy_year_offset` and division by 1000. This is another instance of highly repetitive SQL logic.",WHERE t0.sales_segment_l_2_name IN ('Consortium QLD'),"As above, define a base `gross_revenue` metric. Parameterize the `sales_segment_l_2_name` filter and `relative_fy_year_offset`. This would allow a single, flexible metric to serve multiple sales segments and financial periods, significantly reducing code duplication.",24,9269e9c6-1ad0-4415-96c3-aca8a710ba01
filtered_current_fy_gross_revenue_qld_digital_police_union,Hardcoded Logic|Anti-Pattern|Data Mismatch,"This metric contains extremely complex and nested `CASE WHEN` statements for filtering, including hardcoded `TIMESTAMP` values (`'2025-06-20 01:24:50.169003+00'`). This hardcoded date will quickly become stale and requires manual updates, which is error-prone. The logic also includes a `SAFE_CAST` to `DATETIME` on a `booking_line_created_date` which is `PARSE_DATE('%Y-%m-%d', ...)` - this conversion might be redundant or indicative of mixed date formats.","CASE WHEN ((t0.relative_fy_year_offset = 0) AND (SAFE_CAST(CASE WHEN ((t0.revenue_type = 'DIGITAL') AND (t0.revenue_group_subtype = 'DIGITAL') AND (t0.sales_segment_l_2_name_sync = 'Digital Other') AND (t0.advertiser_parent != 'DOUBLECLICK')) THEN t0.fix_date_lod ELSE PARSE_DATE('%Y-%m-%d', t0.booking_line_created_date) END AS DATETIME) <= DATETIME_ADD(DATE(TIMESTAMP '2025-06-20 01:24:50.169003+00', 'Australia/Sydney'), INTERVAL -365 DAY))) THEN t0.gross_revenue_amount ELSE NULL END","Replace hardcoded `TIMESTAMP` values with dynamic date functions (e.g., `CURRENT_DATE()`, `DATE_SUB(CURRENT_DATE(), INTERVAL 1 YEAR)`) to ensure the filter remains current. Consider abstracting this complex filtering logic into a separate view or a more modular Looker calculation to improve readability and maintainability. Investigate the need for `SAFE_CAST` and `PARSE_DATE` on `booking_line_created_date` to ensure consistent date handling.",24,9269e9c6-1ad0-4415-96c3-aca8a710ba01
filtered_current_fy_gross_revenue_consortium_qld,Hardcoded Logic|Anti-Pattern|Data Mismatch,"This metric exhibits the same complex and nested `CASE WHEN` filtering as its 'QLD Digital Police Union' counterpart, but with a *different* hardcoded `TIMESTAMP` value (`'2025-06-23 10:00:32.354880+00'`). The inconsistency in hardcoded dates between two otherwise similar 'filtered' metrics is a strong indicator of manual duplication and a high risk of data discrepancies or errors if not meticulously maintained.","CASE WHEN ((t0.relative_fy_year_offset = 0) AND (SAFE_CAST(CASE WHEN ((t0.revenue_type = 'DIGITAL') AND (t0.revenue_group_subtype = 'DIGITAL') AND (t0.sales_segment_l_2_name_sync = 'Digital Other') AND (t0.advertiser_parent != 'DOUBLECLICK')) THEN t0.fix_date_lod ELSE PARSE_DATE('%Y-%m-%d', t0.booking_line_created_date) END AS DATETIME) <= DATETIME_ADD(DATE(TIMESTAMP '2025-06-23 10:00:32.354880+00', 'Australia/Sydney'), INTERVAL -365 DAY))) THEN t0.gross_revenue_amount ELSE NULL END","Standardize the dynamic date logic across all 'filtered' metrics using relative date functions. Consolidate the complex filtering logic into a single, reusable component (e.g., a view or a Looker field) that can be applied consistently across different segments. This will reduce maintenance overhead and ensure consistency.",24,9269e9c6-1ad0-4415-96c3-aca8a710ba01
derived_revenue_category,Anti-Pattern,"The 'Revenue Category' metric uses a deeply nested and repeated `CASE` statement to derive its value, recalculating the 'Adjusted Revenue Type' logic multiple times. This is inefficient, increases query complexity, and makes maintenance difficult. Any change to the 'Adjusted Revenue Type' logic would require updates in multiple places within this single metric's definition.",CASE WHEN (CASE WHEN SAFE_CAST(t0.xtend_flag AS STRING) = 'Y' THEN 'XTEND' ELSE SAFE_CAST(t0.revenue_type AS STRING) END = 'DIGITAL') THEN 'DIGITAL (excl.XTEND)' WHEN (CASE WHEN SAFE_CAST(t0.xtend_flag AS STRING) = 'Y' THEN 'XTEND' ELSE SAFE_CAST(t0.revenue_type AS STRING) END = 'PRINT') THEN 'PRINT' WHEN (CASE WHEN SAFE_CAST(t0.xtend_flag AS STRING) = 'Y' THEN 'XTEND' ELSE SAFE_CAST(t0.revenue_type AS STRING) END = 'XTEND') THEN 'XTEND ONLY' ELSE NULL END,"Refactor this logic. Ideally, 'Adjusted Revenue Type' should be a pre-calculated field in the underlying data model or a separate, reusable calculated field in Looker Studio. Then, 'Revenue Category' can simply reference 'Adjusted Revenue Type' directly. Consider using a lookup table for `revenue_type` to `revenue_category` mapping if these categorizations are stable and used across multiple dashboards.",25,61f1feb4-fc3e-4bee-b987-84c86cfe6425
unified_publication_name_filtered_digital_programmatic,Hardcoded Logic,"This dimension hardcodes financial years '2024' and '2025' in its filter. The `structure_sql` indicates that data is available up to '2027', meaning this filter will become outdated and exclude relevant data as time progresses.","SAFE_CAST(t0.financial_year AS STRING) IN ('2024', '2025')","Replace hardcoded financial years with dynamic logic, such as `financial_year >= EXTRACT(YEAR FROM CURRENT_DATE()) - 1` or by referencing a global parameter for the current financial year. If '2024' is intentionally included for historical context, ensure '2026' and '2027' are also included or that the range is dynamic.",25,61f1feb4-fc3e-4bee-b987-84c86cfe6425
revenue_group_subtype_filtered_digital_excl_xtend,Anti-Pattern,"This dimension suffers from both hardcoded financial years ('2024', '2025') and a repetition of the entire 'derived_revenue_category' logic within its `WHERE` clause. This is highly inefficient and creates significant technical debt, as any change to the revenue categorization logic would need to be replicated here.","WHERE (SAFE_CAST(t0.financial_year AS STRING) IN ('2024', '2025') AND (CASE WHEN (CASE WHEN SAFE_CAST(t0.xtend_flag AS STRING) = 'Y' THEN 'XTEND' ELSE SAFE_CAST(t0.revenue_type AS STRING) END = 'DIGITAL') THEN 'DIGITAL (excl.XTEND)' WHEN (CASE WHEN SAFE_CAST(t0.xtend_flag AS STRING) = 'Y' THEN 'XTEND' ELSE SAFE_CAST(t0.revenue_type AS STRING) END = 'PRINT') THEN 'PRINT' WHEN (CASE WHEN SAFE_CAST(t0.xtend_flag AS STRING) = 'Y' THEN 'XTEND' ELSE SAFE_CAST(t0.revenue_type AS STRING) END = 'XTEND') THEN 'XTEND ONLY' ELSE NULL END) IN ('DIGITAL (excl.XTEND)'))","As with other metrics, use dynamic financial year filtering. Crucially, if 'Revenue Category' is already a defined calculated field in Looker Studio, it should be referenced directly here instead of repeating its complex `CASE` logic. Ideally, 'Revenue Category' should be a pre-calculated field in the data model.",25,61f1feb4-fc3e-4bee-b987-84c86cfe6425
revenue_group_subtype_filtered_digital_case_insensitive,Data Mismatch,"This dimension has a critical logic flaw. It attempts to filter by `LOWER(derived_revenue_category) IN ('digital')`. However, the `derived_revenue_category` logic produces values like 'DIGITAL (excl.XTEND)', 'PRINT', or 'XTEND ONLY'. When converted to lowercase, 'DIGITAL (excl.XTEND)' becomes 'digital (excl.xtend)', which will not match the literal string 'digital'. This metric is highly likely to return no data or incorrect data due to this mismatch.",LOWER(CASE WHEN (CASE WHEN SAFE_CAST(t0.xtend_flag AS STRING) = 'Y' THEN 'XTEND' ELSE SAFE_CAST(t0.revenue_type AS STRING) END = 'DIGITAL') THEN 'DIGITAL (excl.XTEND)' WHEN (CASE WHEN SAFE_CAST(t0.xtend_flag AS STRING) = 'Y' THEN 'XTEND' ELSE SAFE_CAST(t0.revenue_type AS STRING) END = 'PRINT') THEN 'PRINT' WHEN (CASE WHEN SAFE_CAST(t0.xtend_flag AS STRING) = 'Y' THEN 'XTEND' ELSE SAFE_CAST(t0.revenue_type AS STRING) END = 'XTEND') THEN 'XTEND ONLY' ELSE NULL END) IN ('digital'),"Correct the comparison logic. If the intent is to include categories that *contain* 'digital' (case-insensitive), use `LOWER(...) LIKE '%digital%'`. If the intent is to match the 'DIGITAL (excl.XTEND)' category case-insensitively, the comparison should be `LOWER(...) = 'digital (excl.xtend)'` or simply `... IN ('DIGITAL (excl.XTEND)')` if case-insensitivity is handled elsewhere or not strictly needed for the exact match.",25,61f1feb4-fc3e-4bee-b987-84c86cfe6425
fin_adtype_name_filtered_non_print,Anti-Pattern,"Similar to other metrics, this dimension hardcodes financial years ('2024', '2025') and repeats the 'derived_adjusted_revenue_type' logic within its `WHERE` clause. This creates redundancy and maintenance overhead.","WHERE (SAFE_CAST(t0.financial_year AS STRING) IN ('2024', '2025') AND (CASE WHEN SAFE_CAST(t0.xtend_flag AS STRING) = 'Y' THEN 'XTEND' ELSE SAFE_CAST(t0.revenue_type AS STRING) END NOT IN ('PRINT') OR CASE WHEN SAFE_CAST(t0.xtend_flag AS STRING) = 'Y' THEN 'XTEND' ELSE SAFE_CAST(t0.revenue_type AS STRING) END IS NULL))","Implement dynamic financial year filtering. Reference the 'Adjusted Revenue Type' calculated field directly if possible, or ensure it's a pre-calculated field in the data model to avoid repeating its logic.",25,61f1feb4-fc3e-4bee-b987-84c86cfe6425
amount_revenue_type_03_by_fy_week,Hardcoded Logic / Anti-Pattern,"This metric, along with 'volume_revenue_type_03_by_fy_week', uses a hardcoded `CASE WHEN SAFE.LEFT(t0.revenue_type, 2) = '03'` to filter for a specific revenue type prefix. The `structure_sql` indicates 12 unique `revenue_type` values, and `business_rules_sql` shows substantial amounts for other prefixes (e.g., '02'). This approach is not scalable or maintainable; if similar metrics are needed for other revenue type prefixes, new calculated fields with identical logic (only changing the prefix) would be required, leading to redundancy and increased maintenance overhead.","SUM(CASE WHEN SAFE.LEFT(t0.revenue_type, 2) = '03' THEN t0.amount ELSE 0 END)","To improve maintainability and scalability, consider creating a derived dimension for 'revenue_type_prefix' in the underlying data model (view or table). This would allow for more flexible filtering and aggregation in Looker Studio, potentially via a parameter or a simple WHERE clause, eliminating the need for hardcoded CASE statements for each specific prefix. Alternatively, if these specific aggregations are frequently used, pre-aggregate them in the data source or use a lookup table for revenue types.",26,f7a9efeb-df3c-45c9-899d-0bcada701572
volume_revenue_type_03_by_fy_week,Hardcoded Logic / Anti-Pattern,"Similar to 'amount_revenue_type_03_by_fy_week', this metric also employs hardcoded logic to filter by 'revenue_type' prefix '03'. This creates redundancy and hinders the ability to easily extend the dashboard to analyze other revenue type prefixes without creating new, nearly identical calculated fields.","SUM(CASE WHEN SAFE.LEFT(t0.revenue_type, 2) = '03' THEN t0.volume ELSE 0 END)","Implement a 'revenue_type_prefix' dimension in the data model to enable dynamic filtering and aggregation. This would replace the need for hardcoded CASE statements and allow for a single, more generalized metric that can be filtered by different revenue type prefixes as needed.",26,f7a9efeb-df3c-45c9-899d-0bcada701572
conditional_current_fy_gross_revenue,Hardcoded Logic|Anti-Pattern,"The SQL logic for this metric contains a hardcoded absolute timestamp ('2025-06-17 07:12:26.397969+00') used to define a 'previous year's reference date'. This makes the metric static and will lead to inaccurate calculations for dynamic reporting across different financial years. For example, if the dashboard is currently showing FY27 data (as suggested by `primary_analysis_sql` sample), a condition based on a fixed 2025 date is outdated. Additionally, the complex, nested CASE statement for date logic and the hardcoded list of `unified_publication_name` values ('OUTSTREAM', 'XTEND', 'EDMEDIA', 'ECOMMERCE') are anti-patterns that make the metric difficult to read, maintain, and prone to errors if business rules or publication categories evolve.","DATETIME_ADD(DATE(TIMESTAMP '2025-06-17 07:12:26.397969+00', 'Australia/Sydney'), INTERVAL -365 DAY) AND UPPER(SAFE_CAST(t0.unified_publication_name AS STRING)) IN ('OUTSTREAM', 'XTEND', 'EDMEDIA', 'ECOMMERCE')","1. Replace the hardcoded date with dynamic date logic (e.g., `CURRENT_DATE()` or a dashboard parameter for the reference date) to ensure the 'previous year's reference date' is always relative and current. 2. Refactor the complex nested CASE statement by either creating a derived field in the underlying data model (`adsales_performance`) for the complex date condition or by defining these conditions as more modular, reusable Looker Studio fields. 3. Consider externalizing the list of `unified_publication_name` values into a governed lookup table or a more manageable configuration if these represent evolving business groupings.",27,4bd7954c-5a94-4fb6-92e1-ed152b1cf7b3
conditional_current_fy_gross_revenue_thousands,Anti-Pattern|Redundant Metric,"This metric is a direct duplication of 'conditional_current_fy_gross_revenue', differing only by a division by 1000 for display. This creates metric proliferation and increases maintenance overhead, as any changes to the underlying complex, hardcoded logic must be applied to both metrics.","SAFE_DIVIDE(CASE WHEN (t0.relative_fy_year_offset = 0 AND UPPER(SAFE_CAST(t0.unified_publication_name AS STRING)) IN ('OUTSTREAM', 'XTEND', 'EDMEDIA', 'ECOMMERCE')) THEN t0.gross_revenue_amount WHEN (t0.relative_fy_year_offset = 0 AND (CASE WHEN (t0.revenue_type = 'DIGITAL' AND t0.revenue_group_subtype = 'DIGITAL' AND t0.sales_segment_l_2_name_sync = 'Digital Other' AND t0.advertiser_parent != 'DOUBLECLICK') THEN SAFE_CAST(t0.fix_date_lod AS DATETIME) ELSE PARSE_DATE('%Y-%m-%d', t0.booking_line_created_date) END) <= DATETIME_ADD(DATE(TIMESTAMP '2025-06-17 07:12:26.397969+00', 'Australia/Sydney'), INTERVAL -365 DAY)) THEN t0.gross_revenue_amount ELSE NULL END, 1000)","Consolidate this metric with its raw counterpart. Utilize Looker Studio's formatting options (e.g., 'Compact numbers' or custom formatting) or a dashboard parameter to allow users to switch between raw and thousands display, thereby reducing the total number of distinct metrics and simplifying maintenance.",27,4bd7954c-5a94-4fb6-92e1-ed152b1cf7b3
current_fy_gross_revenue_thousands,Anti-Pattern|Redundant Metric,"This metric is a direct duplication of 'Current FY Gross Revenue', differing only by a division by 1000 for display. This contributes to unnecessary metric proliferation and increases maintenance overhead.","SAFE_DIVIDE(CASE WHEN t0.relative_fy_year_offset = 0 THEN t0.gross_revenue_amount ELSE 0 END, 1000)","Consolidate this metric with 'Current FY Gross Revenue'. Use Looker Studio's formatting options or a dashboard parameter for display scaling, rather than creating a separate metric.",27,4bd7954c-5a94-4fb6-92e1-ed152b1cf7b3
previous_fy_gross_revenue_thousands,Anti-Pattern|Redundant Metric,"This metric is a direct duplication of 'Previous FY Gross Revenue', differing only by a division by 1000 for display. This contributes to unnecessary metric proliferation and increases maintenance overhead.","SAFE_DIVIDE(CASE WHEN t0.relative_fy_year_offset = 1 THEN t0.gross_revenue_amount ELSE 0 END, 1000)","Consolidate this metric with 'Previous FY Gross Revenue'. Use Looker Studio's formatting options or a dashboard parameter for display scaling, rather than creating a separate metric.",27,4bd7954c-5a94-4fb6-92e1-ed152b1cf7b3
current_fy_gross_revenue_not_future_period_thousands,Anti-Pattern|Redundant Metric,"While the `is_future_period_flag` filter is a valid business rule, the 'in Thousands' scaling makes this metric redundant if a general scaling mechanism (raw vs. thousands) is implemented for all gross revenue metrics across the dashboard. This contributes to metric proliferation.","SAFE_DIVIDE(CASE WHEN (t0.relative_fy_year_offset = 0 AND t0.is_future_period_flag = 'N') THEN t0.gross_revenue_amount ELSE 0 END, 1000)","If a dashboard-wide scaling mechanism (raw vs. thousands) is implemented, this metric could be simplified to its 'raw' form, and the scaling applied via UI formatting. This would reduce the number of distinct metrics while retaining the specific business logic.",27,4bd7954c-5a94-4fb6-92e1-ed152b1cf7b3
all_metrics,Anti-Pattern,"All 15 metrics on the dashboard contain an identical, complex `CASE WHEN` statement to categorize publications based on `gl_publication_code` and `masthead_code`. This hardcoded logic is highly repetitive, difficult to maintain, and prone to errors if new publication codes or groupings are introduced. For example, adding a new 'Metro' publication would require updating this `CASE` statement in 15 different metric definitions.","CASE WHEN (t0.gl_publication_code = '101' OR t0.masthead_code = 'TA') THEN 'The Australian' WHEN (t0.gl_publication_code IN ('400', '402', '100', '111') OR t0.masthead_code IN ('CM', 'DT', 'HS', 'AA')) THEN 'Metros' WHEN (t0.gl_publication_code IN ('450', '350', '670', '961', '850', '5053', '475', '305', '963', '851', '5253', '490', '351', '560') OR t0.masthead_code IN ('CP', 'GA', 'GC', 'NT', 'TM', 'TC', 'TB', 'WT')) THEN 'Regionals' WHEN (t0.gl_publication_code = '121') THEN 'Others' WHEN (t0.gl_publication_code IN ('8822', '9001', '9653', '9003', '9600', '9002', '9603', '9558', '9556', '9623', '9514', '9504', '8821', '962') OR t0.masthead_code IN ('RN', 'CS', 'SC', 'AP', 'TS', 'BG', 'PU')) THEN 'Deep Niche Publications' ELSE 'Discontinued' END","Create a dedicated dimension table (e.g., `dim_publication_group`) that maps `gl_publication_code` and `masthead_code` to their respective 'masthead_group' (e.g., 'Metros', 'Regionals'). This table should be joined to the `digital_subscriptions` fact table. Alternatively, define this grouping logic as a persistent, governed column within the `digital_subscriptions` view or table.",28,d05b3d29-4437-4ee5-987a-e0109eb9590e
all_metrics,Anti-Pattern,All 15 metrics contain identical hardcoded `CASE WHEN` logic to determine 'Digital Recognition' based on `delivery_medium_type` and `subscriber_has_email_flag`. This repetitive logic should be centralized.,CASE WHEN (t0.delivery_medium_type = 'Print') THEN 'Print Recognition' WHEN (t0.subscriber_has_email_flag = 'N') THEN 'Print Recognition' ELSE 'Digital Recognition' END,"Define 'recognition_type' as a derived column within the `digital_subscriptions` view or table, or create a small lookup table if the logic is expected to evolve.",28,d05b3d29-4437-4ee5-987a-e0109eb9590e
all_metrics,Anti-Pattern,"All 15 metrics contain identical hardcoded `CASE WHEN` logic to filter for specific billing systems and rate plans. This complex, repetitive logic is difficult to manage and update.","CASE WHEN (t0.dw_billing_system_code IN ('APLP', 'APLS', 'GPLA', 'SWG')) THEN true WHEN (t0.table_union_source = 'budgetforecast' AND t0.rate_plan_group_name = 'Apple Podcasts') THEN true WHEN (t0.table_union_source = 'budgetforecast' AND t0.rate_plan_group_name = 'Apple Store') THEN true WHEN (t0.table_union_source = 'budgetforecast' AND t0.rate_plan_group_name = 'Google Play') THEN true WHEN (t0.table_union_source = 'budgetforecast' AND t0.rate_plan_group_name = 'Subscribe with Google (SWG)') THEN true ELSE false END","Create a dimension table for billing system/rate plan categorization or define a boolean flag (e.g., `is_digital_billing_system`) as a derived column in the `digital_subscriptions` view or table to encapsulate this logic.",28,d05b3d29-4437-4ee5-987a-e0109eb9590e
net_change_fy2025_wk38,Data Mismatch,"The `Net Change` metric's SQL calculates `SUM(ClosingBase - OpeningBase)` from a single query with a `table_union_source` filter that includes sources for both closing and opening base (`'bmasnap_close', 'SC - CODE Manual APLS', 'SC Manual APLS', 'bmasnap_open'`). However, the individual `Closing Base` and `Opening Base` metrics are defined with distinct `table_union_source` filters. This approach to `Net Change` is logically inconsistent with its components and risks incorrect aggregation if `ClosingBase` and `OpeningBase` columns are not mutually exclusive or correctly populated within rows based on `table_union_source`.","SELECT SUM(SAFE_CAST(t0.ClosingBase AS BIGNUMERIC) - SAFE_CAST(t0.OpeningBase AS BIGNUMERIC)) FROM ... WHERE t0.table_union_source IN ('bmasnap_close', 'SC - CODE Manual APLS', 'SC Manual APLS', 'bmasnap_open')","Redefine `Net Change` as a calculated field at the dashboard level (or in a derived view) by subtracting the already defined `Closing Base (Fiscal Week 38, FY2025)` and `Opening Base (Fiscal Week 38, FY2025)` metrics. This ensures consistency and leverages the validated base metrics.",28,d05b3d29-4437-4ee5-987a-e0109eb9590e
earned_amount_fy2025,Hardcoded Logic,"The `Earned Amount` metric uses a `CASE WHEN` statement to select between `NFEarnedAmount` from `nfmanualhist` (for FY <= 2024) and `EarnedAmount` from `subsnapfact` (for FY > 2024) based on `fy_year` and `table_union_source`. While this handles historical data, it hardcodes the fiscal year transition logic within the metric.",SUM(CASE WHEN t0.fy_year <= 2024 AND t0.table_union_source = 'nfmanualhist' THEN SAFE_CAST(t0.NFEarnedAmount AS BIGNUMERIC) WHEN t0.fy_year > 2024 AND t0.table_union_source = 'subsnapfact' THEN SAFE_CAST(t0.EarnedAmount AS BIGNUMERIC) ELSE 0 END),"Consider consolidating `NFEarnedAmount` and `EarnedAmount` into a single, consistent `EarnedAmount` column in the `digital_subscriptions` table/view, abstracting the source logic at the ETL/data model layer. This would simplify the metric definition.",28,d05b3d29-4437-4ee5-987a-e0109eb9590e
