consolidated_metric_id,metric_name,business_description,consolidated_sql_core,source_tables,original_metric_ids,dashboard_id
cons_sum_daily_publication_targets,Sum of Daily Publication Targets,"The aggregated sum of all daily publication targets, representing the cumulative goal for content output or delivery for 'The Weekend Australian'. The original metric used a generic column name, which has been abstracted to 'target_value' for clarity.",SUM(target_value),[],t0_qt_hugyaygj4c,a07c3b8c-9aac-4462-8d22-f3c662016f59
cons_verity_user_test_count,Verity User Test Count,"The total number of user tests conducted within the Verity 2.0 system, indicating testing activity or user engagement with specific test features related to 'The Weekend Australian' content.",COUNT(1),[],t0c0d1_qt_u1kz1l691c,a07c3b8c-9aac-4462-8d22-f3c662016f59
cons_total_gross_revenue,Total Gross Revenue,"The total sum of all gross revenue generated across all revenue types for the specified period, representing the overall financial intake before any deductions.",SUM(t0.gross_revenue_amount),"[{'gcp_project': 'unknown_project', 'dataset': 'unknown_dataset', 'table': 'revenue_transactions'}]",t0_qt_cr1srg9rkd;t0_qt_khpk73askd;t0_D17308059457205958447,507bd07a-24bc-4402-ba8b-fcfbfac83996
cons_digital_revenue,Digital Revenue,"The total gross revenue specifically attributed to digital channels or products (e.g., online subscriptions, digital ads, software sales) for the specified period.",SUM(CASE WHEN (t0.revenue_type = 'Digital') THEN t0.gross_revenue_amount ELSE 0 END),"[{'gcp_project': 'unknown_project', 'dataset': 'unknown_dataset', 'table': 'revenue_transactions'}]",t0_qt_br1srg9rkd,507bd07a-24bc-4402-ba8b-fcfbfac83996
cons_print_revenue,Print Revenue,"The total gross revenue specifically attributed to print channels or products (e.g., physical publications, print advertising) for the specified period.",SUM(CASE WHEN (t0.revenue_type = 'Print') THEN t0.gross_revenue_amount ELSE 0 END),"[{'gcp_project': 'unknown_project', 'dataset': 'unknown_dataset', 'table': 'revenue_transactions'}]",t0_qt_jhpk73askd;t0_D11227643632444640695,507bd07a-24bc-4402-ba8b-fcfbfac83996
cons_unique_subscription_orders,Unique Subscription Orders,"The total count of distinct subscription orders recorded within the system, representing unique instances of a customer initiating a subscription.",COUNT(DISTINCT SAFE_CAST(t0c0d1.subscription_order_id_src AS STRING)),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset_id', 'table': 'customer_engagement_events'}]",t0c0d1_qt_0pkoql7vjd,db85d1ac-5987-469f-978a-5334af29f7aa
cons_total_subscription_movement_count,Total Subscription Movement Count,"The cumulative count of all subscription movements, such as upgrades, downgrades, cancellations, or reactivations, indicating changes in subscription status.",SUM(t0c0d1.subscription_movement_count),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset_id', 'table': 'customer_engagement_events'}]",t0c0d1_qt_z9zogl7vjd,db85d1ac-5987-469f-978a-5334af29f7aa
cons_total_unique_opens,Total Unique Opens,"The total number of unique instances an email or other communication was opened by a recipient, indicating engagement with sent messages.",SUM(t0c0d1.unique_open),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset_id', 'table': 'customer_engagement_events'}]",t0c0d1_qt_ccjb4pu4pd,db85d1ac-5987-469f-978a-5334af29f7aa
cons_total_sends,Total Sends,"The total number of communications or messages (e.g., emails, notifications) that were sent to recipients.",SUM(t0c0d1.total_send),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset_id', 'table': 'customer_engagement_events'}]",t0c0d1_qt_qozitpu4pd,db85d1ac-5987-469f-978a-5334af29f7aa
cons_total_unsubscribes,Total Unsubscribes,The total count of recipients who have opted out or unsubscribed from receiving further communications.,SUM(t0c0d1.total_unsubscribe),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset_id', 'table': 'customer_engagement_events'}]",t0c0d1_qt_tkkmhru4pd,db85d1ac-5987-469f-978a-5334af29f7aa
cons_total_clicks,Total Clicks,"The total number of clicks on links within sent communications, indicating user interaction and interest.",SUM(t0c0d1.total_click),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset_id', 'table': 'customer_engagement_events'}]",t0c0d1_qt_wrek8tu4pd,db85d1ac-5987-469f-978a-5334af29f7aa
cons_total_day_target,Total Day Target,"The aggregated sum of the daily target value, representing the total target achievement or goal for a given period, irrespective of specific grouping dimensions. This metric provides a high-level view of overall progress towards daily objectives.",SUM(day_target_value),[],t0_qt_dxojlcsfxc;t0_qt_y7qal64alc,c9529742-6e47-4644-ae3e-87ace36730cc
cons_unique_l03_departments,Number of Unique L03 Departments,"The total count of distinct L03 departments identified within the dataset, representing unique organizational units involved in tracked activities.",COUNT(DISTINCT t0.L03_department),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'your_table_t0'}]",t0_qt_gpi2bdyked,34cd05a8-37bb-4a61-b1f5-c782a32bffb3
cons_unique_projects,Number of Unique Projects,"The total count of distinct projects recorded in the dataset, providing an overview of the active project portfolio.",COUNT(DISTINCT t0.PROJECT),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'your_table_t0'}]",t0_qt_w49gqciled,34cd05a8-37bb-4a61-b1f5-c782a32bffb3
cons_unique_jira_issues,Number of Unique Jira Issues,"The total count of distinct Jira issues identified by their unique key, representing individual tasks, bugs, or features being tracked.",COUNT(DISTINCT t0.jira_key),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'your_table_t0'}]",t0_qt_u1xx9kyked;t0_qt_szzi6nyked,34cd05a8-37bb-4a61-b1f5-c782a32bffb3
cons_total_delivered,Total Delivered,The total number of marketing communications successfully delivered to recipients.,SUM(t0c0d1.total_delivered),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'marketing_comms_data'}]",t0c0d1_D16880531703906612921,7b5f16b7-e7eb-4989-97fe-2a2e74100bfe
cons_total_unsubscribes,Total Unsubscribes,The total number of recipients who opted out or unsubscribed from marketing communications.,SUM(t0c0d1.total_unsubscribe),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'marketing_comms_data'}]",t0c0d1_D6406256566505526444;t0c0d1_qt_loljjcvqnd,7b5f16b7-e7eb-4989-97fe-2a2e74100bfe
cons_unique_open_rate,Unique Open Rate,The rate at which unique recipients opened marketing communications. This metric assumes the rate is pre-calculated per record in the source data.,SUM(t0c0d1.unique_open_rate),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'marketing_comms_data'}]",t0c0d1_qt_7cb3ievqnd,7b5f16b7-e7eb-4989-97fe-2a2e74100bfe
cons_unique_opens,Unique Opens,The total number of unique recipients who opened marketing communications.,SUM(t0c0d1.unique_open),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'marketing_comms_data'}]",t0c0d1_qt_m8t5acvqnd,7b5f16b7-e7eb-4989-97fe-2a2e74100bfe
cons_total_clicks,Total Clicks,The total number of clicks on links within marketing communications.,SUM(t0c0d1.total_click),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'marketing_comms_data'}]",t0c0d1_qt_nh3m2bvqnd,7b5f16b7-e7eb-4989-97fe-2a2e74100bfe
cons_total_click_rate,Total Click Rate,The rate at which recipients clicked on links within marketing communications. This metric assumes the rate is pre-calculated per record in the source data.,SUM(t0c0d1.total_click_rate),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'marketing_comms_data'}]",t0c0d1_qt_omcn3bvqnd,7b5f16b7-e7eb-4989-97fe-2a2e74100bfe
cons_total_sends,Total Sends,The total number of marketing communications sent to recipients.,SUM(t0c0d1.total_send),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'marketing_comms_data'}]",t0c0d1_qt_p90n6bvqnd,7b5f16b7-e7eb-4989-97fe-2a2e74100bfe
cons_acquisition_subs_base,Acquisition Subscriptions (Base),"The total number of new subscriptions acquired within a given period, before any adjustments for cancellations or churn. This represents the raw volume of new customer sign-ups.",SUM(t0.subs_adds),"[{'gcp_project': 'prod-data-platform', 'dataset': 'subscription_analytics', 'table': 'subscription_performance_daily'}]",t0_qt_xtpv3iklqd,ff079907-3cf6-4fa7-b16d-5a06d9900e92
cons_acquisition_subs_qoq_change,Acquisition Subscriptions - Quarter-over-Quarter Change,"The absolute change in the total number of new subscriptions acquired compared to the previous quarter. A positive value indicates growth, while a negative value indicates a decline.",SUM(t0.subs_adds - t0.prev_quarter_subs_adds),"[{'gcp_project': 'prod-data-platform', 'dataset': 'subscription_analytics', 'table': 'subscription_performance_daily'}]",t0_qt_uerv3iklqd;t0_qt_oerv3iklqd,ff079907-3cf6-4fa7-b16d-5a06d9900e92
cons_acquisition_subs_yoy_change,Acquisition Subscriptions - Year-over-Year Change,The absolute change in the total number of new subscriptions acquired compared to the same quarter in the previous year. This provides insight into annual growth trends.,SUM(t0.subs_adds - t0.prev_year_same_quarter_subs_adds),"[{'gcp_project': 'prod-data-platform', 'dataset': 'subscription_analytics', 'table': 'subscription_performance_daily'}]",t0_qt_verv3iklqd;t0_qt_perv3iklqd,ff079907-3cf6-4fa7-b16d-5a06d9900e92
cons_net_subs_adds,Net Subscription Adds,"The net change in total active subscriptions, calculated as new subscriptions minus cancellations/churn, for a given period. This reflects the overall growth or decline of the subscriber base.","SUM(COALESCE(a.subs_count, 0) - COALESCE(c.subs_count, 0))","[{'gcp_project': 'prod-data-platform', 'dataset': 'subscription_analytics', 'table': 'current_subscription_snapshot'}, {'gcp_project': 'prod-data-platform', 'dataset': 'subscription_analytics', 'table': 'previous_subscription_snapshot'}]",t0_qt_s7rv3iklqd,ff079907-3cf6-4fa7-b16d-5a06d9900e92
cons_ytd_net_subs_adds_qoq_change,YTD Net Subscription Adds - Quarter-over-Quarter Change,The absolute change in Year-to-Date (YTD) net subscription additions compared to the previous quarter's YTD net additions. This metric tracks the cumulative performance trend.,SUM(t0.ytd_net_subs_adds - t0.prev_quarter_net_subs_adds),"[{'gcp_project': 'prod-data-platform', 'dataset': 'subscription_analytics', 'table': 'subscription_performance_daily'}]",t0_qt_m7rv3iklqd,ff079907-3cf6-4fa7-b16d-5a06d9900e92
cons_ytd_net_subs_adds_yoy_change,YTD Net Subscription Adds - Year-over-Year Change,The absolute change in Year-to-Date (YTD) net subscription additions compared to the YTD net additions for the same period in the previous year. This provides a cumulative annual comparison.,SUM(t0.ytd_net_subs_adds - t0.prev_year_same_quarter_net_subs_adds),"[{'gcp_project': 'prod-data-platform', 'dataset': 'subscription_analytics', 'table': 'subscription_performance_daily'}]",t0_qt_n7rv3iklqd,ff079907-3cf6-4fa7-b16d-5a06d9900e92
cons_total_subscribers_core_clmn3,Total Subscriber Count (Core),"Represents the fundamental count of subscribers, derived from the `clmn3_` column. This core metric can be further segmented (e.g., by audience) or filtered based on specific business requirements. The exact definition and source of `clmn3_` should be clarified in data lineage documentation to ensure consistent interpretation across different contexts.",SUM(clmn3_),[],t0_qt_z3a0v4mlhd;t0_qt_z3a0v4mlhd,a8f4530d-2788-4494-9ad2-73660bcd7c36
cons_total_subscribers_by_masthead_clmn4,Total Subscriber Count by Masthead,"Represents the total count of subscribers specifically for analysis related to 'Masthead' dimensions, derived from the `clmn4_` column. The exact definition of `clmn4_` and its relationship to 'Masthead' should be clarified in data lineage documentation to ensure accurate reporting and analysis.",SUM(clmn4_),[],t0_qt_n12v5bs7id,a8f4530d-2788-4494-9ad2-73660bcd7c36
cons_total_distinct_users,Total Distinct Users,The total count of unique user identifiers recorded within the system over the specified time period. This metric represents the number of individual users who have interacted with the Editorial AI platform.,COUNT(DISTINCT user_id),"[{'gcp_project': 'unknown_project', 'dataset': 'unknown_dataset', 'table': 'user_activity_log'}]",t0_qt_vg8oif0kud,f9ccd2b5-7e80-4e3f-a00a-770cd45b1441
cons_financial_period_label,Financial Period Label,"A descriptive label combining the number of days in a financial period with its financial year and month number, used for display purposes.","CONCAT(SAFE_CAST(t0.NumDays AS STRING),CONCAT(' (',SAFE_CAST(((t0.FinancialYear*100)+t0.FinancialMonthNumber) AS STRING)),' )')","[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'your_financial_data_table'}]",t0_qt_u9ouf52lrd,a8fe6bb0-3cbf-4d6e-8838-fa6e6dce447f
cons_net_revenue,Net Revenue,"The total net revenue generated. This foundational metric serves as the basis for various time-series comparisons and can be filtered by specific periods (e.g., current month, previous month, year-ago month) at the reporting layer.",SUM(t0.RevenueNet),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'your_revenue_data_table'}]",t0_qt_b2vcp26lrd;t0_qt_td93si3lrd,a8fe6bb0-3cbf-4d6e-8838-fa6e6dce447f
cons_pacing_revenue_current_month,Pacing Revenue - Current Month,"Projected total net revenue for the current month, calculated by prorating actual revenue earned to date by the total number of days in the month and the number of days passed. This provides an estimate of month-end revenue based on current performance.","SUM(CASE WHEN (DATE(t0.CalendarYear, t0.CalendarMonth, 1) = DATE(DATETIME_TRUNC(CURRENT_DATETIME(), MONTH))) THEN (SAFE_DIVIDE(t0.RevenueNet, t0.NumDays)*t0.StaticDays) ELSE NULL END)","[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'your_revenue_data_table'}]",t0_qt_lp2zlozlrd,a8fe6bb0-3cbf-4d6e-8838-fa6e6dce447f
cons_daily_website_target_sum,Total Daily Website Target,Represents the aggregated sum of the daily target values established for website performance. This metric is crucial for assessing overall progress and adherence to expected website activity or engagement goals over a given period.,SUM(t0.day_target_website),"[{'gcp_project': 'verity-prod-qld', 'dataset': 'verity_2_0_data', 'table': 'daily_website_targets'}]",t0_qt_cfq6p00gbd,eda51dbb-3cc6-46c2-b1f7-8189b682760a
cons_total_clicks,Total Clicks,The total count of all clicks recorded across all communications within the defined scope. This metric includes multiple clicks by the same user on the same or different links.,SUM(total_click),"[{'gcp_project': 'your-gcp-project-id', 'dataset': 'marketing_analytics', 'table': 'subscriber_engagement_events'}]",t0c0d1_qt_1irzgf2rnd,1091b278-b70b-40d5-af7b-5750a63c662d
cons_total_sends,Total Sends,"The total number of communications (e.g., emails, messages) sent to subscribers within the defined program or period.",SUM(total_send),"[{'gcp_project': 'your-gcp-project-id', 'dataset': 'marketing_analytics', 'table': 'subscriber_engagement_events'}]",t0c0d1_qt_610dlf2rnd,1091b278-b70b-40d5-af7b-5750a63c662d
cons_total_unsubscribes,Total Unsubscribes,The total count of instances where subscribers opted out or unsubscribed from communications within the defined program or period.,SUM(total_unsubscribe),"[{'gcp_project': 'your-gcp-project-id', 'dataset': 'marketing_analytics', 'table': 'subscriber_engagement_events'}]",t0c0d1_qt_8hn3g12rnd,1091b278-b70b-40d5-af7b-5750a63c662d
cons_unique_opens,Unique Opens,The count of unique subscribers who opened a communication at least once within the defined program or period. This metric de-duplicates multiple opens by the same subscriber.,SUM(unique_open),"[{'gcp_project': 'your-gcp-project-id', 'dataset': 'marketing_analytics', 'table': 'subscriber_engagement_events'}]",t0c0d1_qt_kfnxuf2rnd,1091b278-b70b-40d5-af7b-5750a63c662d
cons_unique_clicks,Unique Clicks,The count of unique subscribers who clicked on any link within a communication at least once within the defined program or period. This metric de-duplicates multiple clicks by the same subscriber.,SUM(unique_click),"[{'gcp_project': 'your-gcp-project-id', 'dataset': 'marketing_analytics', 'table': 'subscriber_engagement_events'}]",t0c0d1_qt_ttsv4z1fvd,1091b278-b70b-40d5-af7b-5750a63c662d
cons_total_subscriber_count,Total Subscriber Count,"The total count of all subscribers, representing the overall subscriber base at a given point in time. This metric provides a foundational understanding of the audience size.",SUM(subscriber_count),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'subscribers_daily_activity'}]",t0_D8256333745715940895;t0c1d0_D7687440987219196536,bd697806-2124-441a-b991-fdf075461dbf
cons_28_day_active_subscribers,28-Day Active Subscribers,The count of unique subscribers who have shown any activity (more than 0 active days) within the last 28 days. This metric indicates recent engagement and the size of the currently active user base.,SUM(CASE WHEN subscriber_last_28_days_active_days_count > 0 THEN 1 ELSE 0 END),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'subscribers_daily_activity'}]",t0_D12637089672011322096,bd697806-2124-441a-b991-fdf075461dbf
cons_consistently_weekly_active_subscribers_4_week,Consistently Weekly Active Subscribers (4-Week Period),The count of subscribers who have been active in all four weeks within the last 28-day period. This metric identifies highly engaged subscribers who demonstrate consistent weekly interaction.,SUM(CASE WHEN subscriber_last_28_days_active_weeks_count = 4 THEN subscriber_count ELSE 0 END),"[{'gcp_project': 'your_gcp_project', 'dataset': 'your_dataset', 'table': 'subscribers_daily_activity'}]",t0c1d0_D4811540036504658785,bd697806-2124-441a-b991-fdf075461dbf
cons_c_score_target_sum,Total C-Score Target,The sum of all target values for the 'C-Score' metric. This represents the aggregate goal or benchmark that the 'C-Score' is expected to achieve across all relevant entities or periods being measured. It provides a high-level view of the overall target performance.,SUM(t0.c_score_target),"[{'gcp_project': 'your-gcp-project-id', 'dataset': 'analytics', 'table': 'c_score_targets'}]",t0_qt_73ldtxh0lc,ec783355-ff58-423e-a8df-83c75e9f77b3
cons_day_target_publication_group,Day Target by Publication Group,"Represents the aggregated daily target for subscriptions or related key performance indicators, specifically attributed to or broken down by a particular publication group. This metric helps in evaluating the performance of individual publication groups against their set daily goals.",SUM(t0.day_target_by_publication_group),"[{'gcp_project': 'your-gcp-project-id', 'dataset': 'verity_data', 'table': 'nsn_weekly_subs_metrics'}]",t0_qt_iplasz2lad,b8ff9b19-a3c3-4b05-a4a1-d6626d5783da
cons_day_target_website,Day Target by Website,"Represents the aggregated daily target for subscriptions or related key performance indicators, specifically attributed to or broken down by a particular website. This metric enables the assessment of website-specific performance against daily targets.",SUM(t0.day_target_website),"[{'gcp_project': 'your-gcp-project-id', 'dataset': 'verity_data', 'table': 'nsn_weekly_subs_metrics'}]",t0_qt_xf3kjz2lad,b8ff9b19-a3c3-4b05-a4a1-d6626d5783da
cons_c_score_target,C-Score Target,"Represents the aggregated daily target for the 'C-Score', which is a critical performance indicator likely related to customer satisfaction, conversion rates, or content quality within the NSN Weekly Subs context. This metric helps in monitoring progress towards a defined daily quality or performance benchmark.",SUM(t0.c_score_target),"[{'gcp_project': 'your-gcp-project-id', 'dataset': 'verity_data', 'table': 'nsn_weekly_subs_metrics'}]",t0_qt_j2b9jbhclc,b8ff9b19-a3c3-4b05-a4a1-d6626d5783da
cons_total_subscriber_count,Total Subscriber Count,"The total count of all subscribers, representing the overall audience base. This metric aggregates the sum of all subscribers, irrespective of specific segmentation or daily snapshot contexts, providing a foundational measure of the subscriber population.",SUM(subscriber_count),"[{'gcp_project': 'unknown_project', 'dataset': 'unknown_dataset', 'table': 'unknown_table_t0'}]",t0_qt_z3a0v4mlhd;t0_qt_77poao7ujd,ef665693-433c-4236-8c1f-77174b969b2c
cons_total_active_subscriber_count,Total Active Subscriber Count,"The total count of subscribers who are currently classified as 'active'. This metric specifically tracks the engaged portion of the audience, providing insight into the health and activity level of the subscriber base, potentially for a specific platform like a digital masthead.",SUM(active_subscriber_count),"[{'gcp_project': 'unknown_project', 'dataset': 'unknown_dataset', 'table': 'unknown_table_t0c0d1'}]",t0c0d1_qt_i2gop8rjid,ef665693-433c-4236-8c1f-77174b969b2c
cons_total_video_media_starts,Total Video Media Starts,The total count of instances where video media playback was initiated by a user. This metric indicates the overall engagement and reach of video content.,SUM(video_media_starts),[],t0c1d0_qt_dapzsbb9jd,45bc0813-2c47-4f36-bcac-ed638ce69ce2
cons_total_day_target,Total Day Target,The sum of all daily targets assigned across various sections or teams within the Verity 2.0 Education program. This metric represents the aggregate daily goal that the organization aims to achieve.,SUM(t0.day_target_by_section_team),[],t0_qt_ayg6woddud,33b41b56-aab7-4a76-bb96-0c891b4b0a1f
cons_unique_subscription_orders,Unique Subscription Orders,"The total count of distinct subscription orders recorded within the reporting period, indicating new acquisitions or renewals.",COUNT(DISTINCT SAFE_CAST(t0c0d1.subscription_order_id_src AS STRING)),"[{'gcp_project': 'unknown', 'dataset': 'unknown', 'table': 't0c0d1'}]",t0c0d1_qt_0pkoql7vjd,3d2c67c3-cd34-4afb-ba2c-1c4dc2cd9e90
cons_total_subscription_movement_count,Total Subscription Movement Count,"The aggregate count of all subscription movements, such as upgrades, downgrades, or other status changes, reflecting dynamic subscriber behavior.",SUM(t0c0d1.subscription_movement_count),"[{'gcp_project': 'unknown', 'dataset': 'unknown', 'table': 't0c0d1'}]",t0c0d1_qt_z9zogl7vjd,3d2c67c3-cd34-4afb-ba2c-1c4dc2cd9e90
cons_total_newsletter_sends,Total Newsletter Sends,"The total number of newsletters successfully sent to subscribers, representing the volume of outreach.",SUM(t0c0d1.total_send),"[{'gcp_project': 'unknown', 'dataset': 'unknown', 'table': 't0c0d1'}]",t0c0d1_qt_2covt1yrnd,3d2c67c3-cd34-4afb-ba2c-1c4dc2cd9e90
cons_total_unique_newsletter_opens,Total Unique Newsletter Opens,"The total count of unique instances where newsletters were opened by recipients, indicating initial engagement.",SUM(t0c0d1.unique_open),"[{'gcp_project': 'unknown', 'dataset': 'unknown', 'table': 't0c0d1'}]",t0c0d1_qt_34lq31yrnd,3d2c67c3-cd34-4afb-ba2c-1c4dc2cd9e90
cons_total_newsletter_unsubscribes,Total Newsletter Unsubscribes,"The total number of instances where recipients opted out of receiving newsletters, serving as a key indicator of content relevance or fatigue.",SUM(t0c0d1.total_unsubscribe),"[{'gcp_project': 'unknown', 'dataset': 'unknown', 'table': 't0c0d1'}]",t0c0d1_qt_gqlk71yrnd,3d2c67c3-cd34-4afb-ba2c-1c4dc2cd9e90
cons_newsletter_send_records_count,Newsletter Send Records Count,The total number of individual records or events logged in the underlying data source related to newsletter send activities. This represents the granularity of the data captured for newsletter operations.,COUNT(1),"[{'gcp_project': 'unknown', 'dataset': 'unknown', 'table': 't0c0d1'}]",t0c0d1_qt_okko4ccwjd,3d2c67c3-cd34-4afb-ba2c-1c4dc2cd9e90
cons_total_newsletter_clicks,Total Newsletter Clicks,"The total number of clicks on links embedded within newsletters, indicating deeper engagement with content.",SUM(t0c0d1.total_click),"[{'gcp_project': 'unknown', 'dataset': 'unknown', 'table': 't0c0d1'}]",t0c0d1_qt_ppznp1yrnd,3d2c67c3-cd34-4afb-ba2c-1c4dc2cd9e90
cons_total_gross_revenue,Total Gross Revenue,"Represents the total gross revenue generated from programmatic sales activities before any deductions, adjustments, or returns. This metric provides a top-line view of sales performance.",SUM(t0.RevenueGross),"[{'gcp_project': 'my_project', 'dataset': 'programmatic_sales', 'table': 'sales_transactions'}]",t0_qt_f627akddrd,6f1c8731-02da-464f-b146-bf2947860735
cons_total_c_score_target,Total C-Score Target,"The sum of all 'C-Score' targets, representing the aggregated target value for a specific period or entity. The 'C-Score' likely refers to a composite performance score or a critical success metric used for evaluation within the 'Verity 2.0' initiative.",SUM(t0.c_score_target),"[{'gcp_project': 'unknown_project', 'dataset': 'unknown_dataset', 'table': 'unknown_table_from_t0_alias'}]",t0_qt_d0afk4jpwc,f60ad8ef-829d-4363-b705-c60a305ec777
cons_z_score_overall_count,Z-Score Overall Count,"Counts the total number of records where an overall Z-score value is present, indicating the volume of data points contributing to Z-score analysis.",COUNT(t0.z_score_overall),"[{'gcp_project': 'unknown_project', 'dataset': 'unknown_dataset', 'table': 'unknown_table_t0'}]",t0___LEGO_COUNT_qt_0yq5m1v3ud;t0___LEGO_COUNT_qt_6itqyyt6ud,b6409a96-a733-4898-a32b-12372919adb7
cons_z_score_overall_sum,Z-Score Overall Sum,"Calculates the sum of all overall Z-score values, useful for understanding the aggregate deviation from the mean across the dataset.",SUM(t0.z_score_overall),"[{'gcp_project': 'unknown_project', 'dataset': 'unknown_dataset', 'table': 'unknown_table_t0'}]",t0___LEGO_SUM_qt_0yq5m1v3ud;t0___LEGO_SUM_qt_6itqyyt6ud,b6409a96-a733-4898-a32b-12372919adb7
cons_distinct_subscriber_count,Distinct Subscriber Count,"Counts the unique number of subscribers identified by their source ID, providing a measure of the unique user base.",COUNT(DISTINCT t0.subscriber_id_src),"[{'gcp_project': 'unknown_project', 'dataset': 'unknown_dataset', 'table': 'unknown_table_t0'}]",t0_qt_zyq5m1v3ud;t0_qt_4itqyyt6ud,b6409a96-a733-4898-a32b-12372919adb7
cons_total_active_days,Total Active Days,"Aggregates the total number of active days across all relevant records, indicating overall engagement or usage duration.",SUM(t0.active_days),"[{'gcp_project': 'unknown_project', 'dataset': 'unknown_dataset', 'table': 'unknown_table_t0'}]",t0_qt_mxk2m2v3ud;t0___LEGO_SUM_qt_6k4s6hu3ud,b6409a96-a733-4898-a32b-12372919adb7
cons_record_count,Record Count,"Counts the total number of records in the underlying dataset, representing the total volume of data analyzed.",COUNT(1),"[{'gcp_project': 'unknown_project', 'dataset': 'unknown_dataset', 'table': 'unknown_table_t0'}]",t0_qt_6ygrsev3ud,b6409a96-a733-4898-a32b-12372919adb7
cons_active_days_stddev_overall_count,Active Days Stddev Overall Count,"Counts the number of records where an overall standard deviation for active days is available, indicating data points for variability analysis.",COUNT(t0.active_days_stddev_overall),"[{'gcp_project': 'unknown_project', 'dataset': 'unknown_dataset', 'table': 'unknown_table_t0'}]",t0___LEGO_COUNT_qt_0brtbju3ud,b6409a96-a733-4898-a32b-12372919adb7
cons_active_days_count,Active Days Count,"Counts the number of records where the 'active_days' field is not null, useful for understanding the number of valid entries for active days.",COUNT(t0.active_days),"[{'gcp_project': 'unknown_project', 'dataset': 'unknown_dataset', 'table': 'unknown_table_t0'}]",t0___LEGO_COUNT_qt_6k4s6hu3ud,b6409a96-a733-4898-a32b-12372919adb7
cons_active_days_stddev_overall_sum,Active Days Stddev Overall Sum,"Calculates the sum of overall standard deviation values for active days, providing an aggregate measure of variability in active days across the entire dataset.",SUM(t0.active_days_stddev_overall),"[{'gcp_project': 'unknown_project', 'dataset': 'unknown_dataset', 'table': 'unknown_table_t0'}]",t0___LEGO_SUM_qt_0brtbju3ud,b6409a96-a733-4898-a32b-12372919adb7
cons_active_days_stddev_by_masthead_count,Active Days Stddev By Masthead Count,"Counts the number of records where standard deviation for active days is calculated specifically by masthead, indicating data points for masthead-specific variability analysis.",COUNT(t0.active_days_stddev_by_masthead),"[{'gcp_project': 'unknown_project', 'dataset': 'unknown_dataset', 'table': 'unknown_table_t0'}]",t0___LEGO_COUNT_qt_cjku73v3ud,b6409a96-a733-4898-a32b-12372919adb7
cons_active_days_stddev_by_masthead_sum,Active Days Stddev By Masthead Sum,"Calculates the sum of standard deviation values for active days, specifically broken down by masthead, providing an aggregate measure of variability in active days per masthead.",SUM(t0.active_days_stddev_by_masthead),"[{'gcp_project': 'unknown_project', 'dataset': 'unknown_dataset', 'table': 'unknown_table_t0'}]",t0___LEGO_SUM_qt_cjku73v3ud,b6409a96-a733-4898-a32b-12372919adb7
cons_daily_website_target_sum,Sum of Daily Website Target,"Represents the aggregated daily target value set for 'The Australian' website. This metric is used to measure the sum of expected performance or goals for the website on a daily basis, often related to page views, unique visitors, or content engagement targets, providing a benchmark for actual performance.",SUM(t0.day_target_website),"[{'gcp_project': 'the-australian-project', 'dataset': 'verity_data', 'table': 'website_daily_targets'}]",t0_qt_keo42k6alc,e6db873d-657f-40e8-87a0-007d41f68a55
cons_daily_target_publication_group,Daily Target (Publication Group),"Represents the aggregated daily target or goal assigned to a specific publication group within the newsroom. This metric is used to track performance against content production or distribution goals for print or specific editorial sections, as defined for a publication group.",SUM(t0.day_target_by_publication_group),"[{'gcp_project': 'your-gcp-project-id', 'dataset': 'your_dataset_name', 'table': 'your_source_table_name'}]",t0_qt_v1gbzkzz0c,6ee6cea9-d444-437d-96c9-cf93a94aad6b
