variable_type,hardcoded_values,context,suggested_governance,impact,maintenance_risk,response_id,dashboard_id,issue_type,hardcoded_values_count,hardcoded_values_text,date_value,original_format,suggested_fix,urgency
business_rules,"[""'Guaranteed'""]",TransactionType filter in one query,use a Looker Studio parameter or join to a `transaction_type_master` reference table,medium,high,27,87651b69-c43e-471f-9c4b-98df1208a844,hardcoded_variable,1.0,'Guaranteed',,,,
lookup_codes,"[""'Chemist Warehouse *'""]",Advertiser filter in one query,use a Looker Studio parameter or join to an `advertiser_master` reference table,medium,high,27,87651b69-c43e-471f-9c4b-98df1208a844,hardcoded_variable,1.0,'Chemist Warehouse *',,,,
,,Used as a specific financial year filter in query 2.,,high,,28,f65a9149-93b4-4aa9-aef6-d12002853222,hardcoded_date,,,2026,STRING,"Replace with a dynamic calculation (e.g., `EXTRACT(YEAR FROM CURRENT_DATE()) + 1` for next financial year) or a parameter.",high
,,Used as a specific financial year filter in query 2 and query 3.,,high,,28,f65a9149-93b4-4aa9-aef6-d12002853222,hardcoded_date,,,2025,STRING,"Replace with a dynamic calculation (e.g., `EXTRACT(YEAR FROM CURRENT_DATE())` for current financial year) or a parameter.",high
business_rules,"[""'Booked'"", ""'Billed'""]",Transaction statuses used as a filter.,Join to a `transaction_status_lookup` table or use a configuration table for valid statuses.,medium,medium,28,f65a9149-93b4-4aa9-aef6-d12002853222,hardcoded_variable,2.0,"'Booked', 'Billed'",,,,
business_rules,"[""'Medium Rare Content Agency'""]",Specific publishing division excluded from results.,"Join to a `publishing_division_lookup` table with an 'is_excluded' flag, or use a configuration table for excluded divisions.",medium,medium,28,f65a9149-93b4-4aa9-aef6-d12002853222,hardcoded_variable,1.0,'Medium Rare Content Agency',,,,
categories,"[""'Audio (Targeted)'"", ""'Audio (Non-Targeted)'"", ""'Events (Non-Targeted)'"", ""'Events (Targeted)'"", ""'Rich Media (Non-Targeted)'"", ""'Rich Media (Targeted)'"", ""'Social Display (Targeted)'"", ""'Social Display (Non-Targeted)'"", ""'Standard Display (Targeted)'"", ""'Standard Display (Non-Targeted)'"", ""'TTIV (Targeted)'"", ""'TTIV (Non-Targeted)'"", ""'Content Discovery (Non-Targeted)'"", ""'Content Discovery (Targeted)'"", ""'Native (Non-Targeted)'"", ""'Native (Targeted)'""]",Specific ad type names used as filters across multiple queries.,"Create a `fin_adtype_name_lookup` table with categories and join to it, or use a configuration table for ad type groupings.",high,high,28,f65a9149-93b4-4aa9-aef6-d12002853222,hardcoded_variable,16.0,"'Audio (Targeted)', 'Audio (Non-Targeted)', 'Events (Non-Targeted)', 'Events (Targeted)', 'Rich Media (Non-Targeted)', 'Rich Media (Targeted)', 'Social Display (Targeted)', 'Social Display (Non-Targeted)', 'Standard Display (Targeted)', 'Standard Display (Non-Targeted)', 'TTIV (Targeted)', 'TTIV (Non-Targeted)', 'Content Discovery (Non-Targeted)', 'Content Discovery (Targeted)', 'Native (Non-Targeted)', 'Native (Targeted)'",,,,
,,Used as a specific financial year filter for publication dates.,,high,,30,d4d68a71-2b12-4caf-bc6b-96fc2d18a025,hardcoded_date,,,2025,2025,"Replace with a dashboard parameter or dynamic calculation (e.g., `EXTRACT(YEAR FROM CURRENT_DATE()) + 1`).",medium
,,Used as an exclusion financial year filter.,,high,,30,d4d68a71-2b12-4caf-bc6b-96fc2d18a025,hardcoded_date,,,2024,2024,"Replace with a dashboard parameter or dynamic calculation (e.g., `EXTRACT(YEAR FROM CURRENT_DATE())`).",medium
business_rules,"[""'Fin'"", ""'Curr'""]","Constants in CASE statements that effectively hardcode the selection of financial period columns (`financial_short_month`, `financial_year`) over calendar ones, and `portfolio_conformed_name_current` over `portfolio_conformed_name_sync`.","If the choice is truly static, simplify the SQL by removing the `CASE` statement. If it's meant to be dynamic, parameterize the selection (e.g., `CASE WHEN @period_type = 'Fin' THEN ...`).",high,high,30,d4d68a71-2b12-4caf-bc6b-96fc2d18a025,hardcoded_variable,2.0,"'Fin', 'Curr'",,,,
lookup_codes,"[""'Monday'"", ""'Tuesday'"", ""'Wednesday'"", ""'Thursday'"", ""'Friday'"", ""'Saturday'"", ""'Sunday'""]",Used for custom sorting/display of day of week.,"Use a dedicated lookup table for day names and their sort order, or use BigQuery's built-in date formatting functions with appropriate locale settings.",low,low,30,d4d68a71-2b12-4caf-bc6b-96fc2d18a025,hardcoded_variable,7.0,"'Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'",,,,
categories,"[""'NSW IA C3'"", ""'Feb'"", ""'Mar'"", ""'Apr'"", ""'May'"", ""'Jun'"", ""'Jul'"", ""'Aug'"", ""'Sep'"", ""'Marley-Kale Kentia'"", ""'Australian Meat Processor Corporation'"", ""'Australian Pork'"", ""'CMC Markets'"", ""'Coco Republic'"", ""'Dry July Limited'"", ""'Fred Hollows Foundation'"", ""'LGT Crestone'"", ""'Vogue Australia'""]","Specific values used in `IN` or `=` filters for dimensions like portfolio, month, employee, advertiser, and publication.","These values should be driven by dashboard parameters (e.g., dropdowns) or joined from governed reference tables (e.g., `advertiser_master`, `employee_directory`, `publication_list`).",high,high,30,d4d68a71-2b12-4caf-bc6b-96fc2d18a025,hardcoded_variable,18.0,"'NSW IA C3', 'Feb', 'Mar', 'Apr', 'May', 'Jun', 'Jul', 'Aug', 'Sep', 'Marley-Kale Kentia', 'Australian Meat Processor Corporation', 'Australian Pork', 'CMC Markets', 'Coco Republic', 'Dry July Limited', 'Fred Hollows Foundation', 'LGT Crestone', 'Vogue Australia'",,,,
,,Used as a specific financial year filter (clmn5_ IN ('2025')),,high,,31,a17622e2-ad43-49cc-b3c5-19c95036fd14,hardcoded_date,,,2025,STRING,"Replace with a parameter or relative year function (e.g., EXTRACT(YEAR FROM CURRENT_DATE()))",high
,,Used as a specific financial month filter (clmn17_ IN (10.000000)),,high,,31,a17622e2-ad43-49cc-b3c5-19c95036fd14,hardcoded_date,,,10.000000,FLOAT64,"Replace with a parameter or relative month function (e.g., EXTRACT(MONTH FROM CURRENT_DATE()))",high
lookup_codes,"[""'Booked'"", ""'Billed'""]",Revenue transaction status filter (clmn11_ IN (...)),Join to a 'revenue_transaction_status_lookup' table or use a configuration table.,medium,medium,31,a17622e2-ad43-49cc-b3c5-19c95036fd14,hardcoded_variable,2.0,"'Booked', 'Billed'",,,,
business_rules,"[""'Medium Rare Content Agency'""]",Exclusion filter for source publishing division (clmn13_ != ...),Manage excluded divisions in a configuration table.,medium,medium,31,a17622e2-ad43-49cc-b3c5-19c95036fd14,hardcoded_variable,1.0,'Medium Rare Content Agency',,,,
lookup_codes,"[""'Print'"", ""'Digital'""]",Revenue type filter (clmn12_ IN (...)),Join to a 'revenue_type_lookup' table or use a configuration table.,medium,medium,31,a17622e2-ad43-49cc-b3c5-19c95036fd14,hardcoded_variable,2.0,"'Print', 'Digital'",,,,
lookup_codes,"[""'Programmatic Source'"", ""'Print'"", ""'Digital'""]",Revenue group subtype filter (clmn10_ IN (...)),Join to a 'revenue_group_subtype_lookup' table or use a configuration table.,medium,medium,31,a17622e2-ad43-49cc-b3c5-19c95036fd14,hardcoded_variable,3.0,"'Programmatic Source', 'Print', 'Digital'",,,,
lookup_codes,"[""'4039072'""]",Specific account number filter (clmn0_ = ...),Parameterize the account number or manage specific accounts in a configuration table.,high,high,31,a17622e2-ad43-49cc-b3c5-19c95036fd14,hardcoded_variable,1.0,'4039072',,,,
thresholds,['0.000000'],Rebate amount filter (clmn9_ != 0.000000),"If this threshold can change, parameterize it or manage in a configuration table.",low,low,31,a17622e2-ad43-49cc-b3c5-19c95036fd14,hardcoded_variable,1.0,0.000000,,,,
,,"Used as a fixed reference point for calculating relative dates (e.g., in the complex date comparison for `Conditional_Gross_Revenue`). This date is effectively `CURRENT_DATE()` at the time the query was generated/saved.",,high,,32,52c11c9c-052a-4e45-9cda-8fecd87d7964,hardcoded_date,,,2025-05-08,"DATE(TIMESTAMP '2025-05-08 01:48:02.510465+00', 'Australia/Sydney')",Replace with `CURRENT_DATE('Australia/Sydney')` or a dashboard date parameter to ensure calculations are always relative to the current day.,high
business_rules,"[""'BILLED'"", ""'BOOKED'""]",Revenue transaction status codes used for filtering.,"Define valid transaction statuses in a reference table (e.g., `dim_transaction_status`) and join to it.",medium,medium,32,52c11c9c-052a-4e45-9cda-8fecd87d7964,hardcoded_variable,2.0,"'BILLED', 'BOOKED'",,,,
business_rules,"[""'ROP COMPOSITE'""]",Specific style name excluded from results.,Manage excluded style names in a configuration table.,low,low,32,52c11c9c-052a-4e45-9cda-8fecd87d7964,hardcoded_variable,1.0,'ROP COMPOSITE',,,,
business_rules,"[""'MEDIUM RARE CONTENT AGENCY'""]",Specific source publishing division name excluded from results.,Manage excluded division names in a configuration table.,low,low,32,52c11c9c-052a-4e45-9cda-8fecd87d7964,hardcoded_variable,1.0,'MEDIUM RARE CONTENT AGENCY',,,,
lookup_codes,"[""'17114'"", ""'29172'"", ""'52809'""]",Specific advertiser IDs used in a conditional filter for 'SUDDENLY%' publications.,"Store these special advertiser IDs in a reference table (e.g., `dim_special_advertisers`) and join to it.",medium,medium,32,52c11c9c-052a-4e45-9cda-8fecd87d7964,hardcoded_variable,3.0,"'17114', '29172', '52809'",,,,
lookup_codes,"[""'-'""]",Specific ad type name used in a conditional filter for 'SUDDENLY%' publications.,Store special ad type names in a reference table.,low,low,32,52c11c9c-052a-4e45-9cda-8fecd87d7964,hardcoded_variable,1.0,'-',,,,
lookup_codes,"[""'DOUBLECLICK'""]",Specific advertiser parent used in `fix_date_lod` calculation.,Manage special advertiser parents in a reference table.,medium,medium,32,52c11c9c-052a-4e45-9cda-8fecd87d7964,hardcoded_variable,1.0,'DOUBLECLICK',,,,
thresholds,"[""'$\\'000'"", ""'$'""]",String literals used to determine if a metric should be divided by 1000 for display (unit conversion).,"Use a dashboard parameter or a configuration table to control display units, rather than hardcoded string comparisons.",high,high,32,52c11c9c-052a-4e45-9cda-8fecd87d7964,hardcoded_variable,2.0,"'$\'000', '$'",,,,
categories,"[""'OUTSTREAM'"", ""'XTEND'"", ""'EDMEDIA'"", ""'ECOMMERCE'""]",Specific unified publication names used in conditional revenue calculations.,"Define these categories in a reference table (e.g., `dim_publication_category`) and join to it.",medium,medium,32,52c11c9c-052a-4e45-9cda-8fecd87d7964,hardcoded_variable,4.0,"'OUTSTREAM', 'XTEND', 'EDMEDIA', 'ECOMMERCE'",,,,
categories,"[""'PRINT'"", ""'DIGITAL'"", ""'PROGRAMMATIC'"", ""'PROGRAMMATIC EXCHANGE'"", ""'PROGRAMMATIC SOURCE'"", ""'SUNDRY ADSALES OVERLAY'""]",Specific revenue types/subtypes used in derived dimensions and conditional logic.,"Define these categories in a reference table (e.g., `dim_revenue_type_category`) and join to it.",medium,medium,32,52c11c9c-052a-4e45-9cda-8fecd87d7964,hardcoded_variable,6.0,"'PRINT', 'DIGITAL', 'PROGRAMMATIC', 'PROGRAMMATIC EXCHANGE', 'PROGRAMMATIC SOURCE', 'SUNDRY ADSALES OVERLAY'",,,,
categories,"[""'GUA'"", ""'NON'"", ""'PMP'""]",Specific cost model types used in derived dimensions.,"Define these categories in a reference table (e.g., `dim_cost_model_type`) and join to it.",medium,medium,32,52c11c9c-052a-4e45-9cda-8fecd87d7964,hardcoded_variable,3.0,"'GUA', 'NON', 'PMP'",,,,
categories,"[""'DIGITAL OTHER'""]",Specific portfolio parent group name used in derived dimensions.,"Define these categories in a reference table (e.g., `dim_portfolio_group_category`) and join to it.",medium,medium,32,52c11c9c-052a-4e45-9cda-8fecd87d7964,hardcoded_variable,1.0,'DIGITAL OTHER',,,,
categories,"[""'MRCA'"", ""'Client'""]",Specific sales group names used in derived dimensions.,"Define these categories in a reference table (e.g., `dim_sales_group`) and join to it.",low,low,32,52c11c9c-052a-4e45-9cda-8fecd87d7964,hardcoded_variable,2.0,"'MRCA', 'Client'",,,,
default_values,"[""'VACANT'""]",Default value for owner names when NULL.,"Standard practice, but ensure 'VACANT' is a universally understood and accepted placeholder.",low,low,32,52c11c9c-052a-4e45-9cda-8fecd87d7964,hardcoded_variable,1.0,'VACANT',,,,
lookup_codes,"[""'56694'""]",Filter applied to Adpoint_Account in one of the dashboard queries.,This value should be replaced with a parameter in Looker Studio or derived from a configuration table if it represents a specific business entity.,high,high,34,258a722d-9b6e-45df-ba00-1b9954ec36b2,hardcoded_variable,1.0,'56694',,,,
business_rules,"[""'Contra'"", ""'Renee Sycamore'""]",Filtering `nca_industry_pillar` and `sales_segment_gm_name` in Query 1.,These values should be configurable parameters or derived from a business unit/sales hierarchy table.,high,high,35,b9dfd2f4-92fa-4f81-a5b1-17de880470f9,hardcoded_variable,2.0,"'Contra', 'Renee Sycamore'",,,,
lookup_codes,"[""'13019'"", ""'52246'"", ""'18387'""]",Specific `adpoint_account_number` values used to create `ctr1` alias in Query 2.,"These account numbers should be part of a 'Contra Account' lookup table, allowing for easier updates and transparency.",high,high,35,b9dfd2f4-92fa-4f81-a5b1-17de880470f9,hardcoded_variable,3.0,"'13019', '52246', '18387'",,,,
business_rules,"[""'CTR_2023_AFL Sports CTR_2023_Sydney Swans CTR_2023_GWS Giants'""]",Specific string used to re-categorize `advertiser_name` based on `ctr1` alias in Query 2.,This complex string should be defined in a configuration table or a dedicated 'Contra Advertiser Grouping' lookup table.,high,high,35,b9dfd2f4-92fa-4f81-a5b1-17de880470f9,hardcoded_variable,1.0,'CTR_2023_AFL Sports CTR_2023_Sydney Swans CTR_2023_GWS Giants',,,,
business_rules,"[""'Guaranteed'"", ""'Exchange'"", ""'BILLED'"", ""'BOOKED'"", ""'ROP COMPOSITE'"", ""'MEDIUM RARE CONTENT AGENCY'"", ""'17114'"", ""'29172'"", ""'52809'"", ""'-'"", ""'VACANT'"", ""'XXX'""]","Various filters and default values for `cost_model_type`, `revenue_group_name`, `revenue_transaction_status`, `style_name`, `source_publishing_division`, `publication_name`, `account_number`, `adtype_name`, and `current_portfolio_conformed_owner_full` in Query 2.",These operational values should be managed in reference data tables or configuration tables to ensure consistency and ease of update.,medium,medium,35,b9dfd2f4-92fa-4f81-a5b1-17de880470f9,hardcoded_variable,12.0,"'Guaranteed', 'Exchange', 'BILLED', 'BOOKED', 'ROP COMPOSITE', 'MEDIUM RARE CONTENT AGENCY', '17114', '29172', '52809', '-', 'VACANT', 'XXX'",,,,
lookup_codes,"[""'CTR_2023_AFL SPORT'"", ""'CTR_2023_GWS GIANTS'"", ""'CTR_2023_SYDNEY SWANS'"", ""'CTR_2025_Greater Western Sydney Giants'"", ""'CTR_2025_Raising Literacy Australia'""]",Specific `advertiser_name` values used for filtering in Query 3.,These specific advertiser names should be part of a 'Contra Advertiser List' lookup table.,high,high,35,b9dfd2f4-92fa-4f81-a5b1-17de880470f9,hardcoded_variable,5.0,"'CTR_2023_AFL SPORT', 'CTR_2023_GWS GIANTS', 'CTR_2023_SYDNEY SWANS', 'CTR_2025_Greater Western Sydney Giants', 'CTR_2025_Raising Literacy Australia'",,,,
,,Used as a fixed reference date in a comparison (derived_date <= hardcoded_ref_date) for filtering data in Query 3.,,high,,36,6f1c8731-02da-464f-b146-bf2947860735,hardcoded_date,,,2025-06-26,2025-06-26 07:36:48.083696+00,Replace with CURRENT_DATE() for current reporting or a parameter for dynamic selection.,high
categories,"[""'INDEPENDENT AGENCIES NSW'""]",Filter for PortfolioParentGroup in Query 1.,Manage in a governed lookup table for agency groups.,medium,medium,36,6f1c8731-02da-464f-b146-bf2947860735,hardcoded_variable,1.0,'INDEPENDENT AGENCIES NSW',,,,
categories,"[""'Guaranteed'""]",Exclusion filter for TransactionType in Query 1.,Manage in a governed lookup table for transaction types.,medium,medium,36,6f1c8731-02da-464f-b146-bf2947860735,hardcoded_variable,1.0,'Guaranteed',,,,
business_rules,"[""'FY2025 - Q4'""]",Specific financial period filter in Query 2 and Query 3.,"Derive dynamically based on current date and fiscal calendar, or use a parameter.",high,high,36,6f1c8731-02da-464f-b146-bf2947860735,hardcoded_variable,1.0,'FY2025 - Q4',,,,
categories,"[""'CONSORTIUM VIC'""]",Filter for PortfolioParentGroup in Query 3.,Manage in a governed lookup table for agency groups.,medium,medium,36,6f1c8731-02da-464f-b146-bf2947860735,hardcoded_variable,1.0,'CONSORTIUM VIC',,,,
categories,"[""'Deal'""]",Filter for TransactionType in Query 3.,Manage in a governed lookup table for transaction types.,medium,medium,36,6f1c8731-02da-464f-b146-bf2947860735,hardcoded_variable,1.0,'Deal',,,,
categories,"[""'VIC CON B3'"", ""'VIC CON B2'"", ""'VIC CON B1'""]",Filter for PortfolioChildGroup in Query 3.,Manage in a governed lookup table for child agency groups.,medium,medium,36,6f1c8731-02da-464f-b146-bf2947860735,hardcoded_variable,3.0,"'VIC CON B3', 'VIC CON B2', 'VIC CON B1'",,,,
business_rules,"['1-12 mapping to 7-12, 1-6']",CASE statement for fiscal month adjustment in Query 3.,Externalize to a configuration table or a UDF for fiscal calendar logic.,high,high,36,6f1c8731-02da-464f-b146-bf2947860735,hardcoded_variable,1.0,"1-12 mapping to 7-12, 1-6",,,,
,,Used to derive the end month and year for the current period date range.,,high,,37,e9d8a216-4950-4d30-b344-5011776edbdf,hardcoded_date,,,Jun 24,Jun 24,Replace with a dashboard parameter or derive dynamically from CURRENT_DATE().,high
,,Used to derive the start month and year for the current period date range.,,high,,37,e9d8a216-4950-4d30-b344-5011776edbdf,hardcoded_date,,,Aug 23,Aug 23,Replace with a dashboard parameter or derive dynamically from CURRENT_DATE().,high
categories,"[""'Retail'""]",Filters 'Major_Category' for 'Spend_PY_Retail' metric.,Use a configuration table for major categories or a dashboard parameter.,medium,medium,37,e9d8a216-4950-4d30-b344-5011776edbdf,hardcoded_variable,1.0,'Retail',,,,
categories,"[""'NEWS CORP'""]",Filters 'Media_Network' for 'Spend_CP_NewsCorp' and 'Spend_PY_NewsCorp' metrics.,Use a configuration table for media networks or a dashboard parameter.,medium,medium,37,e9d8a216-4950-4d30-b344-5011776edbdf,hardcoded_variable,1.0,'NEWS CORP',,,,
lookup_codes,"[""'Jan'"", ""'Feb'"", ""'Mar'"", ""'Apr'"", ""'May'"", ""'Jun'"", ""'Jul'"", ""'Aug'"", ""'Sep'"", ""'Oct'"", ""'Nov'"", ""'Dec'""]",Converts month abbreviations to month numbers for date parsing.,Encapsulate in a UDF or use a small lookup table for month names.,low,low,37,e9d8a216-4950-4d30-b344-5011776edbdf,hardcoded_variable,12.0,"'Jan', 'Feb', 'Mar', 'Apr', 'May', 'Jun', 'Jul', 'Aug', 'Sep', 'Oct', 'Nov', 'Dec'",,,,
,,Used as a fixed date for calculating week differences and determining a specific fiscal week for snapshot metrics.,,high,,38,d05b3d29-4437-4ee5-987a-e0109eb9590e,hardcoded_date,,,2025-04-01,2025-04-01 05:58:44.965022+00,"Replace with a Looker Studio date parameter or `CURRENT_DATE()` adjusted for fiscal year start, to allow dynamic reporting.",high
,,Used as a baseline date for `DATETIME_DIFF` to calculate a relative week number. This week number is then used to filter data for a specific snapshot.,,high,,38,d05b3d29-4437-4ee5-987a-e0109eb9590e,hardcoded_date,,,2024-07-03,2024-07-03T00:00:00,Replace with a Looker Studio date parameter or a dynamic fiscal year start date from a configuration table.,high
,,Hardcoded fiscal year for filtering data (`fy_year = 2025`) and in calculations like `(2025-1)`. This limits the dashboard to a single fiscal year.,,high,,38,d05b3d29-4437-4ee5-987a-e0109eb9590e,hardcoded_date,,,2025,2025,"Replace with a Looker Studio year parameter or `EXTRACT(YEAR FROM CURRENT_DATE())` for current fiscal year, and `EXTRACT(YEAR FROM CURRENT_DATE()) + 1` for next fiscal year.",high
lookup_codes,"[""'The Australian'"", ""'Metros'"", ""'Regionals'"", ""'Others'"", ""'Deep Niche Publications'"", ""'Discontinued'"", ""'Print Recognition'"", ""'Digital Recognition'"", ""'APLP'"", ""'APLS'"", ""'GPLA'"", ""'SWG'"", ""'Racenet'"", ""'Supercoach Plus'"", ""'Townsville'"", ""'Code'"", ""'Herald Sun'"", ""'Toowoomba'"", ""'Geelong'"", ""'The Mercury'"", ""'Punters'"", ""'Daily Telegraph'"", ""'The Advertiser'"", ""'Cairns Post'"", ""'Gold Coast'"", ""'Courier Mail'"", ""'NT News'"", ""'Apple Podcast: Crime X'"", ""'Taste Online'"", ""'The Oz'"", ""'news.com.au'"", ""'Brain Games'"", ""'Suddenly'"", ""'News Corporate'"", ""'Group Newspaper Management - Digital'"", ""'AP'"", ""'NT'"", ""'SC'"", ""'CM'"", ""'DT'"", ""'BG'"", ""'TA'"", ""'TS'"", ""'NW'"", ""'AA'"", ""'PU'"", ""'TM'"", ""'TB'"", ""'CP'"", ""'RN'"", ""'CS'"", ""'GC'"", ""'TC'"", ""'WT'"", ""'HS'"", ""'GA'"", ""'Apple Podcasts'"", ""'Google Play'"", ""'Subscribe with Google (SWG)'"", ""'Apple Store'"", ""'subsnapfact'"", ""'budgetforecast'"", ""'bmasnap_move'"", ""'bmasnap_close'"", ""'exclsionnetcancels'"", ""'nfmanualhist'"", ""'SC - CODE Manual APLS'"", ""'SC Manual APLS'"", ""'Taste Manual APLS'"", ""'Taste Manual GPLA'"", ""'Taste Manual PRES'"", '121', '9644', '9903', '100', '101', '103', '110', '111', '116', '301', '302', '303', '305', '307', '350', '351', '400', '401', '402', '450', '460', '475', '490', '500', '501', '5053', '5253', '560', '670', '685', '850', '851', '852', '961', '962', '963', '9000', '9001', '9002', '9003', '9504', '9514', '9556', '9558', '9560', '9600', '9603', '9623', '9653', '8821', '8822']","Extensive use of hardcoded strings and numeric IDs for `gl_publication_code`, `masthead_code`, `dw_billing_system_code`, `rate_plan_group_name`, and `table_union_source` in complex `CASE` statements for derived dimensions (Masthead Group, Recognition Type, Digital Platform Subscription).",Create and maintain governed reference tables for these codes and their corresponding descriptive names/groupings. Join these tables to the `digital_subscriptions` table to derive dimensions dynamically. This centralizes business logic and simplifies maintenance.,high,high,38,d05b3d29-4437-4ee5-987a-e0109eb9590e,hardcoded_variable,122.0,"'The Australian', 'Metros', 'Regionals', 'Others', 'Deep Niche Publications', 'Discontinued', 'Print Recognition', 'Digital Recognition', 'APLP', 'APLS', 'GPLA', 'SWG', 'Racenet', 'Supercoach Plus', 'Townsville', 'Code', 'Herald Sun', 'Toowoomba', 'Geelong', 'The Mercury', 'Punters', 'Daily Telegraph', 'The Advertiser', 'Cairns Post', 'Gold Coast', 'Courier Mail', 'NT News', 'Apple Podcast: Crime X', 'Taste Online', 'The Oz', 'news.com.au', 'Brain Games', 'Suddenly', 'News Corporate', 'Group Newspaper Management - Digital', 'AP', 'NT', 'SC', 'CM', 'DT', 'BG', 'TA', 'TS', 'NW', 'AA', 'PU', 'TM', 'TB', 'CP', 'RN', 'CS', 'GC', 'TC', 'WT', 'HS', 'GA', 'Apple Podcasts', 'Google Play', 'Subscribe with Google (SWG)', 'Apple Store', 'subsnapfact', 'budgetforecast', 'bmasnap_move', 'bmasnap_close', 'exclsionnetcancels', 'nfmanualhist', 'SC - CODE Manual APLS', 'SC Manual APLS', 'Taste Manual APLS', 'Taste Manual GPLA', 'Taste Manual PRES', 121, 9644, 9903, 100, 101, 103, 110, 111, 116, 301, 302, 303, 305, 307, 350, 351, 400, 401, 402, 450, 460, 475, 490, 500, 501, 5053, 5253, 560, 670, 685, 850, 851, 852, 961, 962, 963, 9000, 9001, 9002, 9003, 9504, 9514, 9556, 9558, 9560, 9600, 9603, 9623, 9653, 8821, 8822",,,,
thresholds,"['22', '13', '26', '39', '53', '4', '9', '17', '18', '23', '30', '31', '35', '43', '44', '48', '49']","Numeric thresholds used for grouping fiscal weeks into quarters and months (e.g., `fy_week_of_year <= 13` for Q1).",Define fiscal calendar rules (week-to-month/quarter mapping) in a dedicated fiscal calendar dimension table. This allows for flexible and accurate fiscal period definitions.,medium,medium,38,d05b3d29-4437-4ee5-987a-e0109eb9590e,hardcoded_variable,17.0,"22, 13, 26, 39, 53, 4, 9, 17, 18, 23, 30, 31, 35, 43, 44, 48, 49",,,,
,,used as a filter for Fiscal_Year in PACMAN Product Revenue metric,,high,,39,6de90f2a-b3f3-46fe-a4fe-13474b2d6618,hardcoded_date,,,2025,2025,replace with CURRENT_DATE()'s fiscal year or a parameter,high
business_rules,"[""'Category'"", ""'Product_Name'"", ""'Product_L1'"", ""'Product_L2'"", ""'Product_L3'"", ""'Product_L4'""]","string literals used in CASE WHEN conditions for dynamic category selection, where ('Category' = 'Category') makes other conditions redundant.","review business logic; if dynamic selection is intended, use a parameter or a more robust configuration.",medium,high,39,6de90f2a-b3f3-46fe-a4fe-13474b2d6618,hardcoded_variable,6.0,"'Category', 'Product_Name', 'Product_L1', 'Product_L2', 'Product_L3', 'Product_L4'",,,,
fiscal_period_id,['202535'],Used to filter fiscal_week_id in dv_tm1_pbf_subscriptions query.,"Replace with a dynamic parameter (e.g., current fiscal week, or user-selected fiscal week) or join to a fiscal calendar dimension table.",high,high,40,23c8b213-a9f0-4158-b8fa-bff14425abb5,hardcoded_variable,1.0,202535,,,,
,,Used as a filter for financial_year in all queries.,,high,,41,705edcb5-737a-4600-b1a7-11870177f97a,hardcoded_date,,,2025,'2025',"Replace with a parameter or relative date logic (e.g., `EXTRACT(YEAR FROM CURRENT_DATE())` or a dashboard date range filter).",high
,,Used as a filter for financial_short_month in Query 1 and implicitly in Query 3's specific programmatic revenue calculation.,,high,,41,705edcb5-737a-4600-b1a7-11870177f97a,hardcoded_date,,,Oct,'Oct',"Replace with a parameter or relative date logic (e.g., `FORMAT_DATE('%b', CURRENT_DATE())` or a dashboard date range filter).",high
business_rules,"[""'Medium Rare Content Agency'""]",Exclusion filter for `source_publishing_division` in all queries.,Manage excluded divisions in a configuration table or parameter.,medium,medium,41,705edcb5-737a-4600-b1a7-11870177f97a,hardcoded_variable,1.0,'Medium Rare Content Agency',,,,
lookup_codes,"[""'Billed'"", ""'Booked'""]",Inclusion filter for `revenue_transaction_status` in all queries.,Manage valid transaction statuses in a lookup table.,medium,medium,41,705edcb5-737a-4600-b1a7-11870177f97a,hardcoded_variable,2.0,"'Billed', 'Booked'",,,,
lookup_codes,"[""'Programmatic'""]",Filter for `revenue_type_level2` in Query 3.,Manage revenue types in a lookup table.,low,low,41,705edcb5-737a-4600-b1a7-11870177f97a,hardcoded_variable,1.0,'Programmatic',,,,
lookup_codes,"[""'Programmatic Source'"", ""'Digital'""]",Filter for `revenue_group_subtype` in Query 3.,Manage revenue group subtypes in a lookup table.,low,low,41,705edcb5-737a-4600-b1a7-11870177f97a,hardcoded_variable,2.0,"'Programmatic Source', 'Digital'",,,,
lookup_codes,"[""'Foxtel Management Pty Ltd'""]",Filter for `advertiser_name` in Query 3.,Manage advertiser names in a lookup table or use advertiser IDs.,low,medium,41,705edcb5-737a-4600-b1a7-11870177f97a,hardcoded_variable,1.0,'Foxtel Management Pty Ltd',,,,
lookup_codes,"[""'PLUTO'""]",Filter for `source_system_code` in Query 3.,Manage source system codes in a lookup table.,low,low,41,705edcb5-737a-4600-b1a7-11870177f97a,hardcoded_variable,1.0,'PLUTO',,,,
,,Fiscal year filter applied to all queries.,,high,,42,c441950c-1e3f-432c-9838-847d1d315b9e,hardcoded_date,,,2025,'2025',"Replace with a parameter (e.g., `{{fiscal_year_param}}`) or relative fiscal year logic (e.g., `CURRENT_FISCAL_YEAR()`).",high
